name
Python Programming Language
C# Programming Language
C++ Programming Language
C Programming Language
Java Programming Language
JS Programming Language
Django
Djagno Rest Framework
.NET Framework
Docker
GIT
Azure
sql
Mongo db
Postgres
Postman
Matlab
Pandas
Numpy
PowerBI
