province
0,Ardebil
1,Bushehr
2,Chahar Mahall and Bakhtiari
3,East Azarbaijan
4,Esfahan
5,Fars
6,Gilan
7,Golestan
8,Hamadan
9,Hormozgan
10,Ilam
11,Kerman
12,Kermanshah
13,Khuzestan
14,Kohgiluyeh and Buyer Ahmad
15,Kordestan
16,Lorestan
17,Markazi
18,Mazandaran
19,North Khorasan
20,Qazvin
21,Qom
22,Razavi Khorasan
23,Semnan
24,Sistan and Baluchestan
25,South Khorasan
26,Tehran
27,West Azarbaijan
28,Yazd
29,Zanjan
30,Alborz
