name
Problem Solving
Communication
Creativity
Adaptability
Teamwork
Conflict Resolution
Time Management
Critical Thinking
Leadership
Active Listening 
Organization
Emotional Intelligence
Negotiation
Ethics
Writing
Collaboration
Decision-Making
Patience
Persuasion
Research
